"Genus"	"species"	"guild_fg"
"Ascobolus"	"Ascobolus_crenulatus"	"Dung Saprotroph-Undefined Saprotroph"
"Ascodesmis"	"Ascodesmis_sphaerospora"	"Dung Saprotroph"
"Bionectria"	"Bionectria_ochroleuca"	"Fungal Parasite"
"Blumeria"	"Blumeria_graminis"	"Plant Pathogen"
"Botryosphaeria"	"Botryosphaeria_dothidea"	"Plant Pathogen"
"Botryosphaeria"	"Botryosphaeria_stevensii"	"Plant Pathogen"
"Botryotinia"	"Botryotinia_fuckeliana"	"Plant Pathogen"
"Bulgaria"	"Bulgaria_inquinans"	"Plant Pathogen-Undefined Saprotroph-Wood Saprotroph"
"Caloscypha"	"Caloscypha_fulgens"	"Undefined Saprotroph"
"Canoparmelia"	"Candelariella_terrigena"	"Lichenized"
"Cladonia"	"Canoparmelia_caroliniana"	"Lichenized"
"Capnodium"	"Capnodium_coffeae"	"Plant Pathogen"
"Capnodium"	"Capnodium_salicinum"	"Plant Pathogen"
"Capronia"	"Capronia_pilosella"	"Undefined Saprotroph"
"Ceratocystis"	"Ceratocystis_fimbriata"	"Plant Pathogen"
"Chaetosphaeria"	"Chaetosphaeria_tortuosa"	"Wood Saprotroph"
"Cheilymenia"	"Cheilymenia_stercorea"	"Undefined Saprotroph"
"Chlorociboria"	"Chlorociboria_aeruginosa"	"Wood Saprotroph"
"Cladonia"	"Cladonia_caroliniana"	"Lichenized"
"Claviceps"	"Claviceps_purpurea"	"Plant Pathogen"
"Clavispora"	"Clavispora_lusitaniae"	"Animal Pathogen"
"Bipolaris"	"Cochliobolus_heterostrophus"	"Plant Pathogen"
"Bipolaris"	"Cochliobolus_sativus"	"Plant Pathogen"
"Dibaeis"	"Connersia_rilstonii"	"Lichenized"
"Tolypocladium"	"Cordyceps_ophioglossoides"	"Fungal Parasite"
"Corollospora"	"Corollospora_maritima"	"Endophyte"
"Cryphonectria"	"Cryphonectria_parasitica"	"Wood Saprotroph"
"Cudoniella"	"Cudoniella_clavus"	"Undefined Saprotroph"
"Cyphellophora"	"Cyphellophora_laciniata"	"Animal Pathogen"
"Mycosphaerella"	"Davidiella_tassiana"	"Plant Pathogen"
"Debaryomyces"	"Debaryomyces_hansenii"	"Undefined Saprotroph"
"Dermea"	"Dermea_acerina"	"Undefined Saprotroph"
"Phomopsis"	"Diaporthe_phaseolorum"	"Plant Pathogen"
"Dothidea"	"Dothidea_insculpta"	"Undefined Saprotroph"
"Dothidea"	"Dothidea_sambuci"	"Plant Pathogen"
"Aspergillus"	"Emericella_nidulans"	"Undefined Saprotroph"
"Endocarpon"	"Endocarpon_pallidulum"	"Lichenized"
"Epichloë"	"Epichloë_typhina"	"Plant Pathogen"
"Eutypa"	"Eutypa_lata"	"Plant Pathogen"
"Geoglossum"	"Geoglossum_nigritum"	"Undefined Saprotroph"
"Gibberella"	"Gibberella_zeae"	"Endophyte-Plant Pathogen"
"Colletotrichum"	"Glomerella_cingulata"	"Endophyte-Plant Pathogen"
"Gnomonia"	"Gnomonia_gnomon"	"Plant Pathogen"
"Phyllosticta"	"Guignardia_bidwellii"	"Plant Pathogen"
"Gyromitra"	"Gyromitra_esculenta"	"Undefined Saprotroph"
"Helvella"	"Helvella_compressa"	"Undefined Saprotroph"
"Hydropisphaera"	"Hydropisphaera_erubescens"	"Undefined Saprotroph"
"Nigrospora"	"Khuskia_oryzae"	"Endophyte-Plant Pathogen"
"Kluyveromyces"	"Kluyveromyces_lactis"	"Undefined Saprotroph"
"Lichinella"	"Lachancea_waltti"	"Lichenized"
"Lachnum"	"Lachnum_virgineum"	"Undefined Saprotroph"
"Leotia"	"Leotia_lubrica"	"Undefined Saprotroph"
"Lichinella"	"Lichinella_iodopulchra"	"Lichenized"
"Lindra"	"Lindra_thalassiae"	"Undefined Saprotroph"
"Lulworthia"	"Lulworthia_grandispora"	"Undefined Saprotroph"
"Pyricularia"	"Magnaporthe_grisea"	"Plant Pathogen"
"Melanospora"	"Melanospora_zamiae"	"Endophyte-Plant Pathogen"
"Peltula"	"Microascus_trigonosporus_rigonosporus"	"Lichenized"
"Mollisia"	"Mollisia_cinerea"	"Plant Pathogen"
"Monilinia"	"Monilinia_laxa"	"Plant Pathogen"
"Phaeocalicium"	"Mycocalicium_polyporaeum"	"Fungal Parasite"
